Business_ID,Cuisine,Rating,Num_of_Reviews
NmJ2xtfZrscfWB_a5wEbXQ,chinese,3.5,178.0
sR-KTsDa4vafaDak9Ik2sQ,chinese,3.5,244.0
zZkplEhRoGcsDxPgXpxEdQ,chinese,4.0,17.0
AxalkZb61r5Ks7l1yhhIHQ,chinese,3.5,188.0
6dVXDdgzDEVt4DvHzpWo9w,chinese,3.5,289.0
cGSLzPA_SCWrN3cyT86Nhw,chinese,3.5,52.0
zubN8Ve-RyoljRZV4NRxEQ,chinese,3.5,1300.0
rYw5rQbWRX9buZHZbxqWdA,chinese,3.5,1463.0
NebgteFykeM1gwiVgPcCHw,chinese,4.0,615.0
rlJ2Moc6A9R3qpYJlR8D3Q,chinese,4.0,29.0
xJbr2o_5RZZYwVaFz0D14Q,chinese,4.5,18.0
dSZH0XgoZ-AT0qezA9Xx-g,chinese,3.5,19.0
x64xHVZoQj1ZOjzPqVprkw,chinese,4.0,238.0
LT0yyLNM84EiJj9DL0rfHA,chinese,4.0,72.0
XjPfgkSP-RDEkq_ox8fE3A,chinese,4.0,38.0
D13m2P0qKQUWNqIW-lpHZg,chinese,4.0,226.0
Yj3pRPnIG05AjRfGP0Afjg,chinese,4.0,18.0
Z263fPuSX3B3xNE7izgirw,chinese,4.5,8.0
8td6qiBvZ-En6gSpPjXWzQ,chinese,4.0,100.0
wDRgZ1i7xcJ51xgtfO-fxQ,chinese,3.5,302.0
EV2grf7NhNHQTmBXfu1-NA,chinese,4.0,21.0
kHlYnhMOoMBbe3VCZflpKQ,chinese,4.0,115.0
XiIBASyS65DX3E_staW0JQ,chinese,4.0,354.0
BLYomPDQX5HkNWFJ2Lxfpg,chinese,3.0,99.0
sGwQYKPaMJ-tD2E4fQ0EJQ,chinese,4.0,198.0
bSi2f2TaOr4RVTI5eFt0wQ,chinese,3.0,193.0
7erFgHiQmw7ZJfVPmOjeeA,chinese,3.5,412.0
eN7MYNtDzaMzk4WptrVw3A,chinese,4.0,22.0
s5JNxy0eAFgxS2Poi73ODw,chinese,4.0,171.0
ubeG-hyIV8qoSSAk_pAZ2A,chinese,4.0,109.0
Xf6e3HaP0AgMBxY7dEDkOA,chinese,4.0,1608.0
ZpifrJsBsz7RUT1_Tyu9nQ,chinese,4.5,113.0
PQSrlPW8BGZr8AsgCxVcWQ,chinese,3.5,11.0
XoxEVVf5Ci8nibQ-Q4P0nQ,chinese,3.0,121.0
LJntAPKObO0OfydYm3_bzQ,chinese,4.0,28.0
bcqTacyE-0XDaZYG_xbTBQ,chinese,4.0,296.0
OfqANzeWRlZrdHQuG7pI0w,chinese,3.0,161.0
Qsc2DrX3IR-uGfwnUlOzcA,chinese,4.0,50.0
VW2Epq3C8jqysu6Edpu-RA,chinese,4.0,65.0
mRhPjOOf17Q-a8CwLbmBvA,chinese,3.5,35.0
qH8PVeddtVs9cKN2pwgdkQ,chinese,4.0,175.0
MaZWYgvu08NLQVRcDGGvqQ,chinese,4.0,113.0
g42C_GsiLWzbVY2OZQsoyw,chinese,4.0,12.0
yuXmo3XGH_G-wY7g3gpeAg,chinese,3.5,36.0
mxjv5RgkTr5qw3wjr2fXmA,chinese,4.0,174.0
3DmJv5rHFNyQykaUiXBOvA,chinese,3.0,35.0
LqL-SEhj2m19dWBz0q-vqA,chinese,3.5,49.0
eUFzb1iKTBlc-ScxSW6NCw,chinese,4.0,36.0
C6NvtFvXo86_kEWi3qBYWQ,chinese,3.5,68.0
ak9vroilf-vpA_GSNWX2Jg,chinese,4.0,395.0
AEkpyAGcVe5NgH2Nb7fCNQ,chinese,3.5,198.0
d1pRHsBuYCZ4hdk0dyjE-g,chinese,4.0,40.0
QFOYvQK9y2jM7ue-DXkw2g,chinese,4.0,24.0
DH6vM_NdIN5q-xfiHnJ3mA,chinese,3.5,248.0
croh2zWlbPyCQTNS11klcg,chinese,4.0,128.0
0GftSP2dRwEzujkv2VKIgA,chinese,4.0,736.0
3OT1deSiIYhrcXWJ1sD3wA,chinese,4.5,35.0
jY24wzoHi-DSHYSybWao7w,chinese,3.0,45.0
8FJ8XVa-duF8rPeyfscUPg,chinese,3.5,126.0
#NAME?,chinese,4.0,31.0
OX2B4KARPKNTxC39wpcqDA,chinese,3.5,31.0
XDv71A1J3aIOu_W5sVzZ2w,chinese,4.5,69.0
YY-qRDgWpHM4Rf7PZ2zwmw,chinese,4.0,54.0
ipv4lBvbfVzCnSahqrJckQ,chinese,4.0,281.0
rEbwps11tIERRkwQrIXQog,chinese,3.5,842.0
ApjmgPwYXgrb0JurjQZO4w,chinese,3.5,40.0
_f6jjUliJY8IVrgkcgG_zw,chinese,4.5,12.0
ekXcaHSWrvmSQafJHIU-Dw,chinese,4.5,9.0
U74_3F7r3tMhd6dmTmDBxQ,chinese,4.0,708.0
B87c3bE_u53yNYO1cmHSIw,chinese,4.0,516.0
Qn-qGoIkj-9uApdxb_VTeA,chinese,3.5,408.0
Qgv2vyUV-DwK8YwrhU-jtw,chinese,3.5,102.0
aZgXYxitXJ23AVi5rRLMsg,chinese,4.0,81.0
_7rU61c3WTVfPS_-FNup8g,chinese,3.5,108.0
5uTJ_4fWfT1ImuwCLN9xGA,chinese,3.0,345.0
4PG9npz7q_LP2H5LfDjWig,chinese,3.5,56.0
VKVKKCxE9aU6rgfGEkD0_A,chinese,4.0,11.0
U2x299aFPwXRYXlMxyO4tw,chinese,4.0,26.0
g512kssHLLTdDbUJHTmJFw,chinese,4.5,12.0
A_fZL0ir_actclrL-ePTOw,chinese,4.0,10.0
Lr8pyIPm3SsVcT3IlCXwcw,chinese,4.5,68.0
GrxbGiLMkl1jd665k1lbIQ,chinese,3.5,7.0
ikVDSp8YhAYuy0Lua1hpDA,chinese,4.0,12.0
w0pDi_iMZd5MqYQ7t5q1dQ,chinese,3.5,49.0
IBMaz2RZPkU1Ng9b8A6ywg,chinese,3.5,40.0
_WXa2M3gz2Mi0ys3s88nDw,chinese,4.0,205.0
czQm6Ull9V6b-64amhUMyA,chinese,4.0,47.0
PKkCtyZQpVEzivSF41ZgIw,chinese,3.5,42.0
3ESDUFulPVoMJdsqPQGm0A,chinese,3.5,79.0
XaEFFUabnbH8ZF7ccmSAlQ,chinese,4.0,153.0
iFAAI-7NoceHYVybom5SyA,chinese,3.5,54.0
A_e9adJ7v_U7trur2JMrgA,chinese,4.0,12.0
_FeMTFEx8aHOaSusblkVzA,chinese,4.0,51.0
3qK7p7vhthzsUC0_aYTlrA,chinese,3.5,7.0
oXkCGBRjP-qERDlEgPlwxQ,chinese,4.0,122.0
56wxE888GknVcUeAXBfqFw,chinese,3.0,119.0
iCjntZ9WI6Vl_onP_JqZPA,chinese,3.0,16.0
KFmlknh94aV5MjFpZtsVqA,chinese,3.5,42.0
wPL0epJzosoFRYox1a5lvA,chinese,3.5,75.0
E1QQuFMX7DAEt8jV4attkA,chinese,3.5,89.0
OXTcpNk9ZXuOxPnjpcSs7w,chinese,4.0,83.0
4FD0TAxe70nb3ngk3sXF9Q,chinese,4.0,79.0
_fZQDgmasvWBtCTj9583lg,chinese,4.0,10.0
02wYNDGNJpxv-oIQpT0oRA,chinese,4.5,21.0
31fcTAZjm1MG7abejOiI-Q,chinese,4.5,4.0
Jr8S-deYDqbDoo-eJI7nyg,chinese,3.5,35.0
CKG7LVmSlvI93scyb1aVeg,chinese,3.5,178.0
m4Q7Te--vJwBPi6j1_1mfg,chinese,3.5,76.0
ikx8R8u2lmxhpLGByCjgPw,chinese,4.5,31.0
LpfsAZ7mBmK1om17S477zA,chinese,4.0,30.0
E_V_pCjtbvdniE8ECOMg3Q,chinese,4.0,19.0
aZMVSzm1ypJOkRsLVaMUVA,chinese,4.0,5.0
4fQuriJ0mFzzG6RE1cRV5A,chinese,3.5,30.0
W-i6X2KWxRjsG05CgIM9ow,chinese,4.0,7.0
AeLz0uoZH3hxmkcXlwUIGg,chinese,3.5,98.0
bT4CDzyhV-frXV6ijvXnvw,chinese,4.0,511.0
z6HMM_cSraJFkQFvSjWGDA,chinese,4.0,20.0
Dh2I2jRTXE7oDCfuA9vCoQ,chinese,3.5,40.0
R3UNnA8EbjhNWBHS0wJ0VA,chinese,3.5,240.0
